,ID,Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Latitude,Longitude,ISO2,ISO3,Country_Region,AdminRegion1,AdminRegion2
365,108740652,2021-01-22,98100314,831746,2104469,20457,54037317,448527,,,,,Worldwide,,
366,109065260,2021-01-23,98572942,472628,2116101,11632,54359532,322215,,,,,Worldwide,,
367,109408223,2021-01-24,99056336,483394,2125917,9816,54645793,286261,,,,,Worldwide,,
368,109763142,2021-01-25,99587084,530748,2136559,10642,54920146,274353,,,,,Worldwide,,
369,110126955,2021-01-26,100201258,614174,2154530,17971,55316924,396778,,,,,Worldwide,,
370,110452033,2021-01-27,100584555,383297,2166299,11769,55599107,282183,,,,,Worldwide,,
371,110763538,2021-01-28,101371256,786701,2187659,21360,55984485,385378,,,,,Worldwide,,
372,111087661,2021-01-29,101860188,488932,2200432,12773,56246379,261894,,,,,Worldwide,,
373,111389083,2021-01-30,102403247,543059,2214613,14181,56654869,408490,,,,,Worldwide,,
374,111713393,2021-01-31,102871614,468367,2225773,11160,56981674,326805,,,,,Worldwide,,
375,112003814,2021-02-01,103333479,461865,2235401,9628,57258433,276759,,,,,Worldwide,,
376,112321219,2021-02-02,103572661,239182,2243638,8237,57502710,244277,,,,,Worldwide,,
377,112630912,2021-02-03,104248610,675949,2263792,20154,57893288,390578,,,,,Worldwide,,
378,112947619,2021-02-04,104684395,435785,2277590,13798,58164975,271687,,,,,Worldwide,,
379,113273074,2021-02-05,105223208,538813,2293263,15673,58500396,335421,,,,,Worldwide,,
380,113585221,2021-02-06,105700191,476983,2306818,13555,58826515,326119,,,,,Worldwide,,
381,113889491,2021-02-07,106014623,314432,2313792,6974,59081354,254839,,,,,Worldwide,,
382,114215770,2021-02-08,106420830,406207,2323540,9748,59305523,224169,,,,,Worldwide,,
383,114523584,2021-02-09,106643519,222689,2330839,7299,59549395,243872,,,,,Worldwide,,
384,114832368,2021-02-10,107166785,523266,2348421,17582,59908386,358991,,,,,Worldwide,,
385,115125952,2021-02-11,107458667,291882,2357475,9054,60136468,228082,,,,,Worldwide,,
386,115544449,2021-02-12,108043938,585271,2377988,20513,60504739,368271,,,,,Worldwide,,
387,116187238,2021-02-13,108442250,398312,2390448,12460,60792545,287806,,,,,Worldwide,,
388,116822870,2021-02-14,108753721,311471,2398773,8325,61031525,238980,,,,,Worldwide,,
389,117418259,2021-02-15,109067558,313837,2405546,6773,61277452,245927,,,,,Worldwide,,
390,118018296,2021-02-16,109246204,178646,2410455,4909,61432383,154931,,,,,Worldwide,,
391,118341300,2021-02-17,109859193,612989,2428021,17566,61839534,407151,,,,,Worldwide,,
392,118652391,2021-02-18,110242443,383250,2439127,11106,62062504,222970,,,,,Worldwide,,
393,118828105,2021-02-19,110547030,304587,2447615,8488,62261377,198873,,,,,Worldwide,,
394,118990991,2021-02-20,110903820,356790,2456069,8454,62511665,250288,,,,,Worldwide,,
395,119163684,2021-02-21,111277667,373847,2464390,8321,62783718,272053,,,,,Worldwide,,
396,119344965,2021-02-22,111434139,156472,2467481,3091,62896305,112587,,,,,Worldwide,,
397,119512350,2021-02-23,111974905,540766,2481140,13659,63201288,304983,,,,,Worldwide,,
398,119685480,2021-02-24,112419536,444631,2492420,11280,63440310,239022,,,,,Worldwide,,
399,119855692,2021-02-25,112716833,297297,2500770,8350,63597985,157675,,,,,Worldwide,,
400,120033655,2021-02-26,113161929,445096,2510955,10185,63860665,262680,,,,,Worldwide,,
401,120231953,2021-02-27,113727033,565104,2523703,12748,64167250,306585,,,,,Worldwide,,
402,120384633,2021-02-28,113986374,259341,2528993,5290,64379512,212262,,,,,Worldwide,,
403,120544475,2021-03-01,114350611,364237,2536865,7872,64530988,151476,,,,,Worldwide,,
404,120691899,2021-03-02,114706724,356113,2544852,7987,64781391,250403,,,,,Worldwide,,
405,120845627,2021-03-03,114996913,290189,2554914,10062,65034400,253009,,,,,Worldwide,,
406,121028695,2021-03-04,115467624,470711,2565369,10455,65296409,262009,,,,,Worldwide,,
407,121197800,2021-03-05,115781179,313555,2572353,6984,65496667,200258,,,,,Worldwide,,
408,121359113,2021-03-06,116169119,387940,2582075,9722,65695020,198353,,,,,Worldwide,,
409,121504792,2021-03-07,116600908,431789,2589638,7563,65920692,225672,,,,,Worldwide,,
410,121666777,2021-03-08,117060462,459554,2597318,7680,66132420,211728,,,,,Worldwide,,
411,121809678,2021-03-09,117424768,364306,2608231,10913,66550065,417645,,,,,Worldwide,,
412,121980468,2021-03-10,117764619,339851,2613747,5516,66737497,187432,,,,,Worldwide,,
